1420070400000,ip_1,user_5,clicked,facebook.com,campaign_6,139,session_98
1420070400864,ip_2,user_3,viewed,facebook.com,campaign_4,35,session_98
1420070401728,ip_8,user_8,clicked,youtube.com,campaign_12,115,session_92
1420070402592,ip_1,user_2,blocked,wikipedia.org,campaign_5,129,session_91
1420070403456,ip_7,user_7,viewed,funnyordie.com,campaign_11,12,session_13
1420070404320,ip_9,user_5,clicked,foxnews.com,campaign_2,173,session_24
1420070405184,ip_4,user_9,blocked,bbc.co.uk,campaign_20,27,session_94
1420070406048,ip_1,user_1,clicked,amazon.com,campaign_11,0,session_72
1420070406912,ip_7,user_7,clicked,nytimes.com,campaign_15,19,session_63
1420070407776,ip_5,user_4,blocked,foxnews.com,campaign_4,61,session_81
1420070408640,ip_2,user_3,blocked,hulu.com,campaign_13,47,session_96
1420070409504,ip_4,user_8,clicked,npr.org,campaign_6,2,session_33
1420070410368,ip_5,user_2,blocked,cnn.com,campaign_10,6,session_14
1420070411232,ip_9,user_8,blocked,foxnews.com,campaign_17,103,session_39
1420070412096,ip_4,user_7,viewed,wikipedia.org,campaign_20,158,session_90
1420070412960,ip_2,user_7,viewed,amazon.com,campaign_8,84,session_32
1420070413824,ip_1,user_7,blocked,funnyordie.com,campaign_13,80,session_67
1420070414688,ip_8,user_2,viewed,hulu.com,campaign_6,43,session_91
1420070415552,ip_5,user_4,blocked,npr.org,campaign_13,152,session_93
1420070416416,ip_6,user_8,clicked,cnn.com,campaign_10,0,session_82
